year,avg_closing_price,open_price,high_price,low_price,close_price,annual_percent_change,dividend_return,total_return
2025,5957.29,5868.55,6118.71,5827.04,6101.24,0.0373,0.0007,0.038
2024,5428.24,4742.83,6090.27,4688.68,5881.63,0.2331,0.0171,0.2502
2023,4283.73,3824.14,4783.35,3808.1,4769.83,0.2423,0.0206,0.2629
2022,4097.49,4796.56,4796.56,3577.03,3839.5,-0.1944,0.0133,-0.1811
2021,4273.41,3700.65,4793.06,3700.65,4766.18,0.2689,0.0182,0.2871
2020,3217.86,3257.85,3756.07,2237.4,3756.07,0.1626,0.0214,0.184
2019,2913.36,2510.03,3240.02,2447.89,3230.78,0.2888,0.0261,0.3149
2018,2746.21,2695.81,2930.75,2351.1,2506.85,-0.0624,0.0186,-0.0438
2017,2449.08,2257.83,2690.16,2257.83,2673.61,0.1942,0.0241,0.2183
2016,2094.65,2012.66,2271.72,1829.08,2238.83,0.0954,0.0242,0.1196
2015,2061.07,2058.2,2130.82,1867.61,2043.94,-0.0073,0.0211,0.0138
2014,1931.38,1831.98,2090.57,1741.89,2058.9,0.1139,0.023,0.1369
2013,1643.8,1462.42,1848.36,1457.15,1848.36,0.296,0.0279,0.3239
2012,1379.61,1277.06,1465.77,1277.06,1426.19,0.1341,0.0259,0.16
2011,1267.64,1271.87,1363.61,1099.23,1257.6,0,0.0211,0.0211
2010,1139.97,1132.99,1259.78,1022.58,1257.64,0.1278,0.0228,0.1506
2009,948.05,931.8,1127.78,676.53,1115.1,0.2345,0.0301,0.2646
2008,1220.04,1447.16,1447.16,752.44,903.25,-0.3849,0.0149,-0.37
2007,1477.18,1416.6,1565.15,1374.12,1468.36,0.0353,0.0196,0.0549
2006,1310.46,1268.8,1427.09,1223.69,1418.3,0.1362,0.0217,0.1579
2005,1207.23,1202.08,1272.74,1137.5,1248.29,0.03,0.0191,0.0491
2004,1130.65,1108.48,1213.55,1063.23,1211.92,0.0899,0.0189,0.1088
2003,965.23,909.03,1111.92,800.73,1111.92,0.2638,0.023,0.2868
2002,993.93,1154.67,1172.51,776.76,879.82,-0.2337,0.0127,-0.221
2001,1192.57,1283.27,1373.73,965.8,1148.08,-0.1304,0.0115,-0.1189
2000,1427.22,1455.22,1527.46,1264.74,1320.28,-0.1014,0.0104,-0.091
1999,1327.33,1228.1,1469.25,1212.19,1469.25,0.1953,0.0151,0.2104
1998,1085.5,975.04,1241.81,927.69,1229.23,0.2667,0.0191,0.2858
1997,873.43,737.01,983.79,737.01,970.43,0.3101,0.0235,0.3336
1996,670.49,620.73,757.03,598.48,740.74,0.2026,0.027,0.2296
1995,541.72,459.11,621.69,459.11,615.93,0.3411,0.0347,0.3758
1994,460.42,465.44,482,438.92,459.27,-0.0154,0.0286,0.0132
1993,451.61,435.38,470.94,429.05,466.45,0.0706,0.0302,0.1008
1992,415.75,417.26,441.28,394.5,435.71,0.0446,0.0316,0.0762
1991,376.19,326.45,417.09,311.49,417.09,0.2631,0.0416,0.3047
1990,334.63,359.69,368.95,295.46,330.22,-0.0656,0.0346,-0.031
1989,323.05,275.31,359.8,275.31,353.4,0.2725,0.0444,0.3169
