symbol,company_name,market_cap,sector
NVDA,NVIDIA Corporation,3.61E+12,Technology
AAPL,Apple Inc.,3.36E+12,Technology
MSFT,Microsoft Corporation,3.32E+12,Technology
AMZN,Amazon.com Inc.,2.48E+12,Consumer Discretionary
GOOG,Alphabet Inc.,2.44E+12,Communication Services
GOOGL,Alphabet Inc.,2.42E+12,Communication Services
META,Meta Platforms Inc.,1.61E+12,Communication Services
TSLA,Tesla Inc.,1.32E+12,Consumer Discretionary
AVGO,Broadcom Inc.,1.13E+12,Technology
BRK.B,Berkshire Hathaway Inc.,9.93E+11,Financials
WELL,Welltower Inc.,82340000000,Real Estate
WMT,Walmart Inc.,7.54E+11,Consumer Staples
JPM,JPMorgan Chase & Co.,7.44E+11,Financial Services
LLY,Eli Lilly and Company,6.90E+11,Healthcare
V,Visa Inc.,6.44E+11,Financial Services
ORCL,Oracle Corporation,5.22E+11,Technology
MA,Mastercard Incorporated,4.90E+11,Financial Services
UNH,UnitedHealth Group Incorporated,4.88E+11,Healthcare
XOM,Exxon Mobil Corporation,4.84E+11,Energy
NFLX,Netflix Inc.,4.21E+11,Communication Services
COST,Costco Wholesale Corporation,4.18E+11,Consumer Staples
EOG,EOG Resources Inc.,75030000000,Energy
HD,The Home Depot Inc.,4.12E+11,Consumer Discretionary
PG,The Procter & Gamble Company,3.90E+11,Consumer Staples
BAC,Bank of America Corporation,3.53E+11,Financial Services
JNJ,Johnson & Johnson,3.53E+11,Healthcare
CRM,Salesforce Inc.,3.20E+11,Technology
ABBV,AbbVie Inc.,3.02E+11,Healthcare
CVX,Chevron Corporation,2.80E+11,Energy
KO,The Coca-Cola Company,2.65E+11,Consumer Staples
WFC,Wells Fargo & Company,2.55E+11,Financial Services
TMUS,T-Mobile US Inc.,2.51E+11,Communication Services
CSCO,Cisco Systems Inc.,2.48E+11,Technology
MRK,Merck & Co. Inc.,2.44E+11,Healthcare
NOW,ServiceNow Inc.,2.34E+11,Technology
AXP,American Express Company,2.30E+11,Financial Services
ACN,Accenture plc,2.27E+11,Technology
BX,Blackstone Inc.,2.27E+11,Financial Services
MS,Morgan Stanley,2.21E+11,Financial Services
TMO,Thermo Fisher Scientific Inc.,2.20E+11,Healthcare
GE,General Electric Company,2.17E+11,Industrials
ISRG,Intuitive Surgical Inc.,2.17E+11,Healthcare
CB,Chubb Limited,1.07E+11,Financial Services
GS,The Goldman Sachs Group Inc.,2.16E+11,Financial Services
ABT,Abbott Laboratories,2.14E+11,Healthcare
LIN,Linde plc,2.10E+11,Materials
IBM,International Business Machines Corporation,2.09E+11,Technology
PEP,PepsiCo Inc.,2.06E+11,Consumer Staples
MCD,McDonald's Corporation,2.04E+11,Consumer Discretionary
DIS,The Walt Disney Company,2.01E+11,Communication Services
AMD,Advanced Micro Devices Inc.,2.00E+11,Technology
CAT,Caterpillar Inc.,1.96E+11,Industrials
PM,Philip Morris International Inc.,1.95E+11,Consumer Staples
QCOM,QUALCOMM Incorporated,1.94E+11,Technology
MMC,Marsh & McLennan Companies Inc.,1.07E+11,Financial Services
ADBE,Adobe Inc.,1.90E+11,Technology
TXN,Texas Instruments Incorporated,1.83E+11,Technology
PLTR,Palantir Technologies Inc.,1.80E+11,Technology
DHR,Danaher Corporation,1.77E+11,Healthcare
BSX,Boston Scientific Corporation,1.50E+11,Healthcare
RTX,RTX Corporation,1.68E+11,Industrials
INTU,Intuit Inc.,1.67E+11,Technology
VZ,Verizon Communications Inc.,1.65E+11,Communication Services
ANET,Arista Networks Inc,1.63E+11,Technology
CEG,Constellation Energy Corporation,1.08E+11,Utilities
T,AT&T Inc.,1.62E+11,Communication Services
BKNG,Booking Holdings Inc.,1.59E+11,Consumer Discretionary
SPGI,S&P Global Inc.,1.59E+11,Financial Services
BLK,BlackRock Inc.,1.58E+11,Financial Services
CRWD,CrowdStrike Holdings Inc.,93030000000,Technology
AMAT,Applied Materials Inc.,1.55E+11,Technology
C,Citigroup Inc.,1.54E+11,Financial Services
UNP,Union Pacific Corporation,1.50E+11,Industrials
SCHW,The Charles Schwab Corporation,1.50E+11,Financial Services
SYK,Stryker Corporation,1.50E+11,Healthcare
PFE,Pfizer Inc.,1.50E+11,Healthcare
AMGN,Amgen Inc.,1.49E+11,Healthcare
LOW,Lowe's Companies Inc.,1.48E+11,Consumer Discretionary
KKR,KKR & Co. Inc.,1.47E+11,Financial Services
HON,Honeywell International Inc.,1.47E+11,Industrials
ETN,Eaton Corporation plc,1.46E+11,Industrials
UBER,Uber Technologies Inc.,1.44E+11,Technology
CMCSA,Comcast Corporation,1.43E+11,Communication Services
NEE,NextEra Energy Inc.,1.42E+11,Utilities
PGR,The Progressive Corporation,1.40E+11,Financial Services
TJX,The TJX Companies Inc.,1.38E+11,Consumer Discretionary
COP,ConocoPhillips,1.35E+11,Energy
BA,The Boeing Company,1.34E+11,Industrials
DE,Deere & Company,1.29E+11,Industrials
PANW,Palo Alto Networks Inc.,1.23E+11,Technology
GEV,GE Vernova Inc.,1.21E+11,Utilities
ADP,Automatic Data Processing Inc.,1.21E+11,Technology
BMY,Bristol-Myers Squibb Company,1.20E+11,Healthcare
MO,Altria Group Inc.,86790000000,Consumer Staples
LMT,Lockheed Martin Corporation,1.18E+11,Industrials
FI,Fiserv Inc.,1.17E+11,Technology
MU,Micron Technology Inc.,1.17E+11,Technology
GILD,Gilead Sciences Inc.,1.16E+11,Healthcare
MDT,Medtronic plc,1.14E+11,Healthcare
UPS,United Parcel Service Inc.,1.14E+11,Industrials
ADI,Analog Devices Inc.,1.13E+11,Technology
VRTX,Vertex Pharmaceuticals Incorporated,1.13E+11,Healthcare
PLD,Prologis Inc.,1.12E+11,Real Estate
SBUX,Starbucks Corporation,1.11E+11,Consumer Discretionary
NKE,NIKE Inc.,1.10E+11,Consumer Discretionary
LRCX,Lam Research Corporation,1.05E+11,Technology
KLAC,KLA Corporation,1.02E+11,Technology
APO,Apollo Global Management Inc.,96050000000,Financials
APH,Amphenol Corporation,94700000000,Technology
ELV,Elevance Health Inc.,93080000000,Healthcare
INTC,Intel Corporation,93030000000,Technology
EQIX,Equinix Inc.,90790000000,Real Estate
SHW,The Sherwin-Williams Company,90640000000,Materials
ICE,Intercontinental Exchange Inc.,90540000000,Financial Services
SO,The Southern Company,90130000000,Utilities
TT,Trane Technologies plc,90070000000,Industrials
PYPL,PayPal Holdings Inc.,89960000000,Financial Services
CDNS,Cadence Design Systems Inc.,89000000000,Technology
MCO,Moody's Corporation,88100000000,Financial Services
PH,Parker-Hannifin Corporation,87540000000,Industrials
AMT,American Tower Corporation,87100000000,Real Estate
SNPS,Synopsys Inc.,85260000000,Technology
DUK,Duke Energy Corporation,84460000000,Utilities
WM,Waste Management Inc.,84330000000,Industrials
CME,CME Group Inc.,84100000000,Financial Services
ABNB,Airbnb Inc.,83240000000,Consumer Discretionary
HCA,HCA Healthcare Inc.,82410000000,Healthcare
CI,The Cigna Group,82050000000,Healthcare
MMM,3M Company,80720000000,Industrials
CTAS,Cintas Corporation,79820000000,Industrials
DELL,Dell Technologies Inc.,79690000000,Technology
MSI,Motorola Solutions Inc.,79560000000,Technology
MAR,Marriott International Inc.,79220000000,Consumer Discretionary
AON,Aon plc,78870000000,Financial Services
CMG,Chipotle Mexican Grill Inc.,78490000000,Consumer Discretionary
PNC,The PNC Financial Services Group Inc.,78260000000,Financial Services
COF,Capital One Financial Corporation,77780000000,Financial Services
ITW,Illinois Tool Works Inc.,76750000000,Industrials
MDLZ,Mondelez International Inc.,76170000000,Consumer Staples
TDG,TransDigm Group Incorporated,75910000000,Industrials
MCK,McKesson Corporation,75800000000,Healthcare
USB,U.S. Bancorp,75550000000,Financial Services
ZTS,Zoetis Inc.,75330000000,Healthcare
REGN,Regeneron Pharmaceuticals Inc.,74740000000,Healthcare
EMR,Emerson Electric Co.,74710000000,Industrials
FTNT,Fortinet Inc.,74690000000,Technology
GD,General Dynamics Corporation,73730000000,Industrials
GM,General Motors Company,59620000000,Consumer Discretionary
