number,symbol,percent_change,industry,sector
1,NVDA,0.1,Semiconductors,Technology
2,AAPL,-0.08,Consumer Electronics,Technology
3,MSFT,0.11,Software - Infrastructure,Technology
4,AMZN,0.17,Internet Retail,Consumer Discretionary
5,GOOG,-0.23,Internet Content & Information,Communication Services
6,GOOGL,-0.2,Internet Content & Information,Communication Services
7,META,2.08,Internet Content & Information,Communication Services
8,TSLA,-0.66,Auto Manufacturers,Consumer Discretionary
9,AVGO,-0.26,Semiconductors,Technology
10,BRK.B,-0.15,Insurance - Diversified,Financials
11,WMT,0.62,Discount Stores,Consumer Staples
12,JPM,1.18,Banks - Diversified,Financial Services
13,LLY,1.67,Drug Manufacturers - General,Healthcare
14,V,1.44,Credit Services,Financial Services
15,ORCL,1.22,Software - Infrastructure,Technology
16,MA,1.34,Credit Services,Financial Services
17,UNH,1.93,Healthcare Plans,Healthcare
18,XOM,0.57,Oil & Gas Integrated,Energy
19,NFLX,3.24,Entertainment,Communication Services
20,COST,-0.27,Discount Stores,Consumer Staples
21,HD,1.05,Home Improvement Retail,Consumer Discretionary
22,PG,0.86,Household & Personal Products,Consumer Staples
23,BAC,1.31,Banks - Diversified,Financial Services
24,JNJ,0.94,Drug Manufacturers - General,Healthcare
25,CRM,0.61,Software - Application,Technology
26,ABBV,0.87,Drug Manufacturers - General,Healthcare
27,CVX,-0.26,Oil & Gas Integrated,Energy
28,KO,-0.4,Beverages - Non-Alcoholic,Consumer Staples
29,WFC,-0.14,Banks - Diversified,Financial Services
30,TMUS,-0.98,Telecom Services,Communication Services
31,CSCO,0.97,Communication Equipment,Technology
32,MRK,0.99,Drug Manufacturers - General,Healthcare
33,NOW,0.8,Software - Application,Technology
34,AXP,1.12,Credit Services,Financial Services
35,ACN,1.16,Information Technology Services,Technology
36,BX,1.5,Asset Management,Financial Services
37,MS,1.32,Capital Markets,Financial Services
38,TMO,0.05,Diagnostics & Research,Healthcare
39,GE,6.6,Aerospace & Defense,Industrials
40,ISRG,-0.29,Medical Instruments & Supplies,Healthcare
166,TGT,1.09,Discount Stores,Consumer Staples
41,GS,1.07,Capital Markets,Financial Services
42,ABT,4.62,Medical Devices,Healthcare
43,LIN,-0.4,Specialty Chemicals,Materials
44,IBM,1.25,Information Technology Services,Technology
45,PEP,0.36,Beverages - Non-Alcoholic,Consumer Staples
46,MCD,1.09,Restaurants,Consumer Discretionary
47,DIS,2.05,Entertainment,Communication Services
48,AMD,-0.57,Semiconductors,Technology
49,CAT,2.21,Farm & Heavy Construction Machinery,Industrials
50,PM,2.07,Tobacco,Consumer Staples
51,QCOM,2.42,Semiconductors,Technology
52,ADBE,-0.01,Software - Infrastructure,Technology
53,TXN,1.81,Semiconductors,Technology
54,PLTR,2.74,Software - Infrastructure,Technology
55,DHR,0.61,Diagnostics & Research,Healthcare
167,CARR,-0.21,Building Products & Equipment,Industrials
56,RTX,1.54,Aerospace & Defense,Industrials
57,INTU,-2.19,Software - Application,Technology
58,VZ,0.59,Telecom Services,Communication Services
59,ANET,-0.54,Computer Hardware,Technology
168,DLR,0.59,REIT - Specialty,Real Estate
60,T,0.94,Telecom Services,Communication Services
61,BKNG,4.31,Travel Services,Consumer Discretionary
62,SPGI,0.5,Financial Data & Stock Exchanges,Financial Services
63,BLK,1.13,Asset Management,Financial Services
64,AMAT,-2.46,Semiconductor Equipment & Materials,Technology
65,C,0.36,Banks - Diversified,Financial Services
66,UNP,5.2,Railroads,Industrials
67,SCHW,1.84,Capital Markets,Financial Services
68,SYK,0.77,Medical Devices,Healthcare
69,PFE,1.65,Drug Manufacturers - General,Healthcare
70,BSX,1.33,Medical Devices,Healthcare
71,AMGN,1.62,Drug Manufacturers - General,Healthcare
72,LOW,1.29,Home Improvement Retail,Consumer Discretionary
73,KKR,2.37,Asset Management,Financial Services
74,HON,1.15,Conglomerates,Industrials
75,ETN,-0.41,Specialty Industrial Machinery,Industrials
76,UBER,0.71,Software - Application,Technology
77,CMCSA,0.97,Telecom Services,Communication Services
78,NEE,1.08,Utilities - Regulated Electric,Utilities
79,PGR,0.14,Insurance - Property & Casualty,Financial Services
80,TJX,0.02,Apparel Retail,Consumer Discretionary
81,COP,0.9,Oil & Gas Exploration & Production,Energy
82,BA,2.09,Aerospace & Defense,Industrials
83,DE,3.26,Farm & Heavy Construction Machinery,Industrials
84,PANW,-0.2,Software - Infrastructure,Technology
85,GEV,2.48,Utilities - Renewable,Utilities
86,ADP,-0.19,Software - Application,Technology
87,BMY,3.59,Drug Manufacturers - General,Healthcare
88,LMT,-0.41,Aerospace & Defense,Industrials
89,FI,-1.41,Information Technology Services,Technology
90,MU,-4.02,Semiconductors,Technology
335,HUBB,-0.67,Electrical Equipment & Parts,Industrials
91,GILD,-0.13,Drug Manufacturers - General,Healthcare
92,MDT,1.61,Medical Devices,Healthcare
93,UPS,0.8,Integrated Freight & Logistics,Industrials
94,ADI,1.91,Semiconductors,Technology
95,VRTX,2.74,Biotechnology,Healthcare
96,PLD,2.96,REIT - Industrial,Real Estate
97,SBUX,0.27,Restaurants,Consumer Discretionary
98,NKE,0.34,Footwear & Accessories,Consumer Discretionary
99,CEG,4.14,Utilities - Renewable,Utilities
100,CB,-0.68,Insurance - Property & Casualty,Financial Services
101,MMC,0.04,Insurance Brokers,Financial Services
102,LRCX,-2.43,Semiconductor Equipment & Materials,Technology
103,KLAC,-1.42,Semiconductor Equipment & Materials,Technology
104,APO,0.5,Asset Management,Financials
105,APH,0.91,Electronic Components,Technology
106,ELV,2.72,Healthcare Plans,Healthcare
107,CRWD,-0.07,Software - Infrastructure,Technology
108,INTC,-1.33,Semiconductors,Technology
109,EQIX,1.7,REIT - Specialty,Real Estate
110,SHW,0.94,Specialty Chemicals,Materials
111,ICE,2.28,Financial Data & Stock Exchanges,Financial Services
112,SO,-0.32,Utilities - Regulated Electric,Utilities
113,TT,0.18,Building Products & Equipment,Industrials
114,PYPL,-0.13,Credit Services,Financial Services
115,CDNS,0.94,Software - Application,Technology
116,MCO,0.31,Financial Data & Stock Exchanges,Financial Services
117,PH,0.83,Specialty Industrial Machinery,Industrials
118,AMT,0.59,REIT - Specialty,Real Estate
