number,company_name,market_cap,cap_percentage,sector,revenue_growth,net_income
1,NVIDIA Corporation,3605420000000,6.27,Technology,152.44,63070000000
2,Apple Inc.,3363370000000,5.85,Technology,2.02,93740000000
3,Microsoft Corporation,3321240000000,5.77,Technology,16.44,90510000000
4,"Amazon.com, Inc.",2475440000000,4.3,Consumer Discretionary,11.93,49870000000
5,Alphabet Inc.,2437430000000,4.24,Communication Services,14.38,94270000000
6,Alphabet Inc.,2423470000000,4.21,Communication Services,14.38,94270000000
7,"Meta Platforms, Inc.",1606710000000,2.79,Communication Services,23.06,55540000000
8,"Tesla, Inc.",1323760000000,2.3,Consumer Discretionary,1.28,12740000000
9,Broadcom Inc.,1126280000000,1.96,Technology,43.99,5900000000
10,Berkshire Hathaway Inc.,993450000000,1.73,Financials,5.93,106880000000
11,Walmart Inc.,753610000000,1.31,Consumer Staples,5.48,19680000000
12,JPMorgan Chase & Co.,744020000000,1.29,Financial Services,14.56,56870000000
13,Eli Lilly and Company,690270000000,1.2,Healthcare,27.41,8370000000
14,Visa Inc.,643630000000,1.12,Financial Services,10.02,19460000000
15,Oracle Corporation,521550000000,0.91,Technology,6.4,11620000000
16,Mastercard Incorporated,490320000000,0.85,Financial Services,11.73,12320000000
17,UnitedHealth Group Incorporated,487540000000,0.85,Healthcare,7.71,14410000000
18,Exxon Mobil Corporation,484120000000,0.84,Energy,-1.59,33700000000
19,"Netflix, Inc.",420990000000,0.73,Communication Services,15.65,8710000000
20,Costco Wholesale Corporation,418220000000,0.73,Consumer Staples,5.35,7580000000
21,"The Home Depot, Inc.",411640000000,0.72,Consumer Discretionary,0.57,14610000000
22,The Procter & Gamble Company,389600000000,0.68,Consumer Staples,0.49,15190000000
23,Bank of America Corporation,353070000000,0.61,Financial Services,0.29,25500000000
24,Johnson & Johnson,353050000000,0.61,Healthcare,4.77,14680000000
25,"Salesforce, Inc.",320270000000,0.56,Technology,9.53,5940000000
26,AbbVie Inc.,301600000000,0.52,Healthcare,0.72,5080000000
27,Chevron Corporation,280360000000,0.49,Energy,-5.6,16680000000
28,The Coca-Cola Company,265060000000,0.46,Consumer Staples,2.97,10410000000
29,Wells Fargo & Company,254660000000,0.44,Financial Services,0.99,18610000000
30,"T-Mobile US, Inc.",250710000000,0.44,Communication Services,2.11,10370000000
31,"Cisco Systems, Inc.",247850000000,0.43,Technology,-8.72,9390000000
32,"Merck & Co., Inc.",244440000000,0.42,Healthcare,6.51,12150000000
33,"ServiceNow, Inc.",234000000000,0.41,Technology,23.48,1340000000
34,American Express Company,229560000000,0.4,Financial Services,8.94,9760000000
35,Accenture plc,227210000000,0.39,Technology,2.75,7570000000
36,Blackstone Inc.,226630000000,0.39,Financial Services,35.11,2220000000
37,Morgan Stanley,221440000000,0.38,Financial Services,14.71,12800000000
38,Thermo Fisher Scientific Inc.,219880000000,0.38,Healthcare,-2.42,6140000000
39,General Electric Company,217320000000,0.38,Industrials,-43.05,6560000000
40,"Intuitive Surgical, Inc.",216790000000,0.38,Healthcare,14.83,2240000000
166,Target Corporation,62890000000,0.11,Consumer Staples,0.64,4370000000
41,"The Goldman Sachs Group, Inc.",216280000000,0.38,Financial Services,15.34,13530000000
42,Abbott Laboratories,213720000000,0.37,Healthcare,4.59,13400000000
43,Linde plc,209900000000,0.36,Materials,1.77,6380000000
44,International Business Machines Corporation,209010000000,0.36,Technology,2.3,6400000000
45,"PepsiCo, Inc.",206270000000,0.36,Consumer Staples,0.33,9360000000
46,McDonald's Corporation,203830000000,0.35,Consumer Discretionary,3.7,8250000000
47,The Walt Disney Company,201090000000,0.35,Communication Services,2.77,4970000000
48,"Advanced Micro Devices, Inc.",199670000000,0.35,Technology,9.88,1830000000
49,Caterpillar Inc.,196210000000,0.34,Industrials,-1.39,10680000000
50,Philip Morris International Inc.,195020000000,0.34,Consumer Staples,8.58,9810000000
51,QUALCOMM Incorporated,193710000000,0.34,Technology,8.77,10140000000
52,Adobe Inc.,190350000000,0.33,Technology,10.8,5560000000
53,Texas Instruments Incorporated,183000000000,0.32,Technology,-13.26,4940000000
54,Palantir Technologies Inc.,179920000000,0.31,Technology,24.52,476570000
55,Danaher Corporation,177430000000,0.31,Healthcare,12.92,3890000000
167,Carrier Global Corporation,62700000000,0.11,Industrials,25.64,3470000000
56,RTX Corporation,168090000000,0.29,Industrials,17.82,4720000000
57,Intuit Inc.,167470000000,0.29,Technology,12.48,2920000000
58,Verizon Communications Inc.,164930000000,0.29,Communication Services,0.11,9800000000
59,Arista Networks Inc,162660000000,0.28,Technology,18.19,2660000000
168,"Digital Realty Trust, Inc.",62050000000,0.11,Real Estate,1.17,400510000
60,AT&T Inc.,161660000000,0.28,Communication Services,0.26,8850000000
61,Booking Holdings Inc.,159460000000,0.28,Consumer Discretionary,11.74,5040000000
62,S&P Global Inc.,159180000000,0.28,Financial Services,12.1,3550000000
63,"BlackRock, Inc.",157620000000,0.27,Financial Services,14.27,6370000000
64,"Applied Materials, Inc.",155170000000,0.27,Technology,2.49,7180000000
65,Citigroup Inc.,153880000000,0.27,Financial Services,0.94,11460000000
66,Union Pacific Corporation,150380000000,0.26,Industrials,0.54,6750000000
67,The Charles Schwab Corporation,150250000000,0.26,Financial Services,4.08,5480000000
68,Stryker Corporation,150010000000,0.26,Healthcare,10.51,3590000000
69,Pfizer Inc.,149840000000,0.26,Healthcare,-14.29,4250000000
70,Boston Scientific Corporation,149800000000,0.26,Healthcare,15.66,1790000000
71,Amgen Inc.,149370000000,0.26,Healthcare,21.25,4230000000
72,"Lowe''s Companies, Inc.",147550000000,0.26,Consumer Discretionary,-7.2,6840000000
